market,sym
KRAKEN,REP/XBT
KRAKEN,REP/EUR
KRAKEN,REP/USD
KRAKEN,XRP/AUD
KRAKEN,XRP/ETH
KRAKEN,XRP/GBP
KRAKEN,XRP/USDT
KRAKEN,XTZ/ETH
KRAKEN,XTZ/EUR
KRAKEN,XTZ/USD
KRAKEN,XTZ/XBT
KRAKEN,XBT/CAD
KRAKEN,XBT/EUR
KRAKEN,XBT/GBP
KRAKEN,XBT/JPY
KRAKEN,XBT/USD
KRAKEN,XDG/XBT
KRAKEN,XLM/XBT
KRAKEN,XLM/EUR
KRAKEN,XLM/USD
KRAKEN,XMR/XBT
KRAKEN,XMR/EUR
KRAKEN,XMR/USD
KRAKEN,XRP/XBT
KRAKEN,XRP/CAD
KRAKEN,XRP/EUR
KRAKEN,XRP/JPY
KRAKEN,XRP/USD
KRAKEN,ZEC/XBT
KRAKEN,ZEC/EUR
KRAKEN,ZEC/USD
KRAKEN,YFI/ETH
KRAKEN,YFI/EUR
KRAKEN,YFI/USD
KRAKEN,YFI/XBT
KRAKEN,EUR/USD
KRAKEN,GBP/USD
KRAKEN,USD/CAD
KRAKEN,USD/JPY
KRAKEN1,AAVE/ETH
KRAKEN1,AAVE/EUR
KRAKEN1,AAVE/GBP
KRAKEN1,AAVE/USD
KRAKEN1,AAVE/XBT
KRAKEN1,ADA/ETH
KRAKEN1,ADA/EUR
KRAKEN1,ADA/USD
KRAKEN1,ADA/USDT
KRAKEN1,ADA/XBT
KRAKEN1,ALGO/ETH
KRAKEN1,ALGO/EUR
KRAKEN1,ALGO/USD
KRAKEN1,ALGO/XBT
KRAKEN1,ANT/ETH
KRAKEN1,ANT/EUR
KRAKEN1,ANT/USD
KRAKEN1,ANT/XBT
KRAKEN1,ATOM/ETH
KRAKEN1,ATOM/EUR
KRAKEN1,ATOM/USD
KRAKEN1,ATOM/XBT
KRAKEN1,AUD/JPY
KRAKEN1,AUD/USD
KRAKEN1,BAL/ETH
KRAKEN1,BAL/EUR
KRAKEN1,BAL/USD
KRAKEN1,BAL/XBT
KRAKEN1,BAT/ETH
KRAKEN1,BAT/EUR
KRAKEN1,BAT/USD
KRAKEN1,BAT/XBT
KRAKEN1,BCH/AUD
KRAKEN1,BCH/ETH
KRAKEN1,BCH/EUR
KRAKEN1,BCH/GBP
KRAKEN1,BCH/JPY
KRAKEN1,BCH/USD
KRAKEN1,BCH/USDT
KRAKEN1,BCH/XBT
KRAKEN1,COMP/ETH
KRAKEN1,COMP/EUR
KRAKEN1,COMP/USD
KRAKEN1,COMP/XBT
KRAKEN1,CRV/ETH
KRAKEN1,CRV/EUR
KRAKEN1,CRV/USD
KRAKEN1,CRV/XBT
KRAKEN1,DAI/EUR
KRAKEN1,DAI/USD
KRAKEN1,DAI/USDT
KRAKEN1,DASH/EUR
KRAKEN1,DASH/USD
KRAKEN1,DASH/XBT
KRAKEN1,DOT/ETH
KRAKEN1,DOT/EUR
KRAKEN1,DOT/USD
KRAKEN1,DOT/USDT
KRAKEN1,DOT/XBT
KRAKEN1,EOS/ETH
KRAKEN1,EOS/EUR
KRAKEN1,EOS/USD
KRAKEN1,EOS/USDT
KRAKEN1,EOS/XBT
KRAKEN1,ETH2.S/ETH
KRAKEN1,ETH/AUD
KRAKEN1,ETH/CHF
KRAKEN1,ETH/DAI
KRAKEN1,ETH/USDC
KRAKEN1,ETH/USDT
KRAKEN1,EUR/AUD
KRAKEN1,EUR/CAD
KRAKEN1,EUR/CHF
KRAKEN1,EUR/GBP
KRAKEN1,EUR/JPY
KRAKEN1,FIL/ETH
KRAKEN1,FIL/EUR
KRAKEN1,FIL/USD
KRAKEN1,FIL/XBT
KRAKEN1,GNO/ETH
KRAKEN1,GNO/EUR
KRAKEN1,GNO/USD
KRAKEN1,GNO/XBT
KRAKEN1,GRT/ETH
KRAKEN1,GRT/EUR
KRAKEN1,GRT/USD
KRAKEN1,GRT/XBT
KRAKEN1,ICX/ETH
KRAKEN1,ICX/EUR
KRAKEN1,ICX/USD
KRAKEN1,ICX/XBT
KRAKEN1,KAVA/ETH
KRAKEN1,KAVA/EUR
KRAKEN1,KAVA/USD
KRAKEN1,KAVA/XBT
KRAKEN1,KEEP/ETH
KRAKEN1,KEEP/EUR
KRAKEN1,KEEP/USD
KRAKEN1,KEEP/XBT
KRAKEN1,KNC/ETH
KRAKEN1,KNC/EUR
KRAKEN1,KNC/USD
KRAKEN1,KNC/XBT
KRAKEN1,KSM/ETH
KRAKEN1,KSM/EUR
KRAKEN1,KSM/USD
KRAKEN1,KSM/XBT
KRAKEN1,LINK/ETH
KRAKEN1,LINK/EUR
KRAKEN1,LINK/USD
KRAKEN1,LINK/USDT
KRAKEN1,LINK/XBT
KRAKEN1,LSK/ETH
KRAKEN1,LSK/EUR
KRAKEN1,LSK/USD
KRAKEN1,LSK/XBT
KRAKEN1,LTC/AUD
KRAKEN1,LTC/ETH
KRAKEN1,LTC/GBP
KRAKEN1,LTC/USDT
KRAKEN1,MANA/ETH
KRAKEN1,MANA/EUR
KRAKEN1,MANA/USD
KRAKEN1,MANA/XBT
KRAKEN1,NANO/ETH
KRAKEN1,NANO/EUR
KRAKEN1,NANO/USD
KRAKEN1,NANO/XBT
KRAKEN1,OMG/ETH
KRAKEN1,OMG/EUR
KRAKEN1,OMG/USD
KRAKEN1,OMG/XBT
KRAKEN1,OXT/ETH
KRAKEN1,OXT/EUR
KRAKEN1,OXT/USD
KRAKEN1,OXT/XBT
KRAKEN1,PAXG/ETH
KRAKEN1,PAXG/EUR
KRAKEN1,PAXG/USD
KRAKEN1,PAXG/XBT
KRAKEN1,QTUM/ETH
KRAKEN1,QTUM/EUR
KRAKEN1,QTUM/USD
KRAKEN1,QTUM/XBT
KRAKEN1,REPV2/ETH
KRAKEN1,REPV2/EUR
KRAKEN1,REPV2/USD
KRAKEN1,REPV2/XBT
KRAKEN1,SC/ETH
KRAKEN1,SC/EUR
KRAKEN1,SC/USD
KRAKEN1,SC/XBT
KRAKEN1,SNX/ETH
KRAKEN1,SNX/EUR
KRAKEN1,SNX/USD
KRAKEN1,SNX/XBT
KRAKEN1,STORJ/ETH
KRAKEN1,STORJ/EUR
KRAKEN1,STORJ/USD
KRAKEN1,STORJ/XBT
KRAKEN1,TBTC/ETH
KRAKEN1,TBTC/EUR
KRAKEN1,TBTC/USD
KRAKEN1,TBTC/XBT
KRAKEN1,TRX/ETH
KRAKEN1,TRX/EUR
KRAKEN1,TRX/USD
KRAKEN1,TRX/XBT
KRAKEN1,UNI/ETH
KRAKEN1,UNI/EUR
KRAKEN1,UNI/USD
KRAKEN1,UNI/XBT
KRAKEN1,USDC/EUR
KRAKEN1,USD/CHF
KRAKEN1,USDC/USD
KRAKEN1,USDC/USDT
KRAKEN1,USDT/AUD
KRAKEN1,USDT/CAD
KRAKEN1,USDT/CHF
KRAKEN1,USDT/EUR
KRAKEN1,USDT/GBP
KRAKEN1,USDT/JPY
KRAKEN1,USDT/USD
KRAKEN1,WAVES/ETH
KRAKEN1,WAVES/EUR
KRAKEN1,WAVES/USD
KRAKEN1,WAVES/XBT
KRAKEN1,XBT/AUD
KRAKEN1,XBT/CHF
KRAKEN1,XBT/DAI
KRAKEN1,XBT/USDC
KRAKEN1,XBT/USDT
KRAKEN1,XDG/EUR
KRAKEN1,XDG/USD
KRAKEN1,ETC/ETH
KRAKEN1,ETC/XBT
KRAKEN1,ETC/EUR
KRAKEN1,ETC/USD
KRAKEN1,ETH/XBT
KRAKEN1,ETH/CAD
KRAKEN1,ETH/EUR
KRAKEN1,ETH/GBP
KRAKEN1,ETH/JPY
KRAKEN1,ETH/USD
KRAKEN1,LTC/XBT
KRAKEN1,LTC/EUR
KRAKEN1,LTC/JPY
KRAKEN1,LTC/USD
KRAKEN1,MLN/ETH
KRAKEN1,MLN/XBT
KRAKEN1,MLN/EUR
KRAKEN1,MLN/USD
KRAKEN1,REP/ETH
KRAKEN1,REP/XBT
KRAKEN1,REP/EUR
KRAKEN1,REP/USD
KRAKEN1,XRP/AUD
KRAKEN1,XRP/ETH
KRAKEN1,XRP/GBP
KRAKEN1,XRP/USDT
KRAKEN1,XTZ/ETH
KRAKEN1,XTZ/EUR
KRAKEN1,XTZ/USD
KRAKEN1,XTZ/XBT
KRAKEN1,XBT/CAD
KRAKEN1,XBT/EUR
KRAKEN1,XBT/GBP
KRAKEN1,XBT/JPY
KRAKEN1,XBT/USD
KRAKEN1,XDG/XBT
KRAKEN1,XLM/XBT
KRAKEN1,XLM/EUR
KRAKEN1,XLM/USD
KRAKEN1,XMR/XBT
KRAKEN1,XMR/EUR
KRAKEN1,XMR/USD
KRAKEN1,XRP/XBT
KRAKEN1,XRP/CAD
KRAKEN1,XRP/EUR
KRAKEN1,XRP/JPY
KRAKEN1,XRP/USD
KRAKEN1,ZEC/XBT
KRAKEN1,ZEC/EUR
KRAKEN1,ZEC/USD
KRAKEN1,YFI/ETH
KRAKEN1,YFI/EUR
KRAKEN1,YFI/USD
KRAKEN1,YFI/XBT
KRAKEN1,EUR/USD
KRAKEN1,GBP/USD
KRAKEN1,USD/CAD
KRAKEN1,USD/JPY
